Ability,قدرة
Big,ضخم
Little,صغير
Cheap,رخيص
Expinsive,غالي
Hot,ساخن
Cold,بارد
Deep,عميق
Shallow,سطحي
Easy,سهل
Difficult,صعب
Heavy,ثقيل
Light,خفيف
Long,طويل
Tall,طويل
Short,قصير
Many,العديد من
A few,عدد قليل من
Much,الكميه الكثيره من
A little,الكميه الصغيره من
Poor,فقير
Rich,غني
Single,اعزب
Married,متزوج
Divorced,مطلق
Strong,قوي
Weak,ضعيف
Wide,واسع
Narrow,ضيق
Thick,سميك
Fat,سمين
Thin,رفيع
Rides,يركب
Elephant,الفيل
Kids,اطفال
Drinks,يشرب
Water,ماء
Phone,هاتف
Book,كتاب
Street,شارع
Super,خارق
Pool,مسبح
Hardworking,بجديه ونشاط
Animals,حيونات
Bears,الدببه
Owls,بومه
Walk,يمشي
Swim,السباحة
Ouctopus,اخطبوط
Kangeroos,حيونات الكنغر
Fast,سريع
Run,الجري
Hippo,فرس النهر
Underwater,تحت الماء
Goat,المعزه
Frog,ضغدع
Eat,ياكل
Sly,مكار
Foxes,الثعالب
Flies,الذباب
Annoying,مزعج
Ducks,البط
Dolphins,الدلافين
Friendly,صديقه
Beautiful,جميل
Deer,غزال
Crocodiles,تماسيح
Dangeorus,خطير
Eggs,البيض
Chicken,دجاجه
Bees,النحل
Honey,عسل
Way,طريق
Anywhare,في أى مكان
Direct flight,رحله مباشره
Direct,مباشر
Traffic,زحام
Shy,خجول
Typhoon,اعصار
Patient,صبور
Peas,البازلاء
Chop,يقطع
Cucumber,خيار
Pickled,مخلل
Radish,الفجل
Turnip,لفت
Lettuce,خس
Bucycling,ركوب الدراجات
Spinach,السبانخ
Eggplants,الباذنجان
Rabbite,الارنب
Carrot,جزره
Hour,ساعه
Minute,دقيقه
Second,ثانيه
Moment,لحضه
Clock,ساعه
Watch,ساعه
Quarter,ربع
Half,نصف
Able,قادر
About,حول
Above,فوق
Accept,قبول
According,تبعا
Account,الحساب
Across,عير
Act,يمثل
Action,عمل
Activity,نشاط
Actually,في الواقع
Add,يضيف
Address,عنوان
Administration,الادارة
Admit,يعترف
Adult,بالغ
Affect,يؤثر
After,بعد بعدما
Again,تكرارا
Against,ضد
Age,سن
Agency,وكالة
Agent,وكيلات
Ago,منذ
Agree,يوافق على
Agreement,اتفاق
Ahead,امام
Air,هواء
All,الكل
Allow,السماح
Almost,تقريبيا
Alone,وحده
Along,على امتداد
Already,بالفعل
Also,أيضا
Although,بالرغم ان
Always,دائما
American,أمريكي
Among,من بين
Amount,كمية
Analysis,التحليلات
And,و
Animal,حيوان
Another,اخر
Answer,إجابه
Any,أي
Anyone,أي واحد
Anything,اى شئ
Appear,يظهر
Apply,تطبيق
Approach,مقاربة
Area,منطقة
Argue,تجادل
Arm,ذراع
Around,حول
Arrive,يصل
Art,فن
Article,مقالة - سلعة
Artist,فنان
As,كما
Ask,يطلب
Assume,افترض
At,في
Attack,هجوم
Attention,الانتباه
Attorney,محامي
Audience,جمهور
Author,مؤلف
Authority,السلطة
Available,متوفرة
Avoid,تجنب
Away,بعيدا
Baby,طفل
Back,الى الخلف
Bad,سيء
Bag,حقيبة
Ball,كرة
Bank,مصرف
Bar,شريط
Base,يتمركز
Be,يكون
Beat,تغلب
